file,status,layer,risk,lines,responsibility,key_exports,edit_when,caution
components/controls/DesktopLearnControls.jsx,ACTIVE,UI LEARN,LOW,56,Panel Learn desktop: Playback Sequence access + Memory Mode dan hide Word/Sentence/Meaning/EXP.,DesktopLearnControls,Mengubah UI belajar/memory desktop.,Sequence behavior ada di playback services/domain; reveal cell ada dataset interaction.
components/controls/DesktopSystemControls.jsx,ACTIVE,UI SYSTEM,MEDIUM,97,"Panel System desktop: generator Gemini/Edge, voice Edge/Gemini, rate/pitch, backend health test, API key, Load Audio Folder, Batch, Logs.",DesktopSystemControls,Mengubah tampilan/pengaturan System desktop.,"Request TTS, folder map, batch, persistence jangan diimplementasikan di sini."
components/controls/MobileDataControls.jsx,ACTIVE,UI DATA MOBILE,MEDIUM,40,Kontrol Data versi mobile untuk import/add/save/export/undo dan workflow data yang sesuai shell mobile.,MobileDataControls,Mengubah Data tab/mobile tools.,Logic data tetap gunakan services/domain.
components/controls/MobileLearnControls.jsx,ACTIVE,UI LEARN MOBILE,LOW,30,Kontrol Learn versi mobile termasuk Memory Mode/settings belajar.,MobileLearnControls,Mengubah tampilan Learn di mobile tools.,Jangan menduplikasi playback logic.
components/controls/MobileSystemControls.jsx,ACTIVE,UI SYSTEM MOBILE,MEDIUM,31,Kontrol System versi mobile; pengaturan generator/system yang disederhanakan untuk mobile.,MobileSystemControls,Mengubah System mobile.,Jaga feature parity dengan desktop bila fitur memang shared.
components/controls/PlaybackSequenceBuilder.jsx,QUARANTINED,QUARANTINED UI,CRITICAL,151,Versi legacy Playback Sequence Builder component.,PlaybackSequenceBuilder,Jangan disentuh/diaktifkan. Versi aktif adalah PlaybackSequenceBuilderView.jsx.,Tidak reachable.
components/controls/PlaybackSequenceBuilderView.jsx,ACTIVE,UI PLAYBACK CONFIG,HIGH,167,"Renderer aktif untuk urutan part playback, enable/disable, repeat per part, delay, preset, shuffle/reset, vocabulary order.",renderPlaybackSequenceBuilderView,Mengubah UI/configuration panel Playback Sequence.,Behavior konfigurasi ada playbackConfigurationService + playbackSequenceDomain + playbackConstants.
components/controls/PlayerAudioSourceControls.jsx,ACTIVE,UI PLAYER,MEDIUM,24,Toggle sumber playback Local/Generated vs Browser TTS dan status local audio map.,PlayerAudioSourceControls,Mengubah UI pemilihan sumber audio player.,Routing actual ada audioSourceRoutingDomain + audioPlaybackSideEffectService.
components/controls/PlayerBrowserTtsControls.jsx,ACTIVE,UI PLAYER TTS,MEDIUM,53,Dropdown Browser TTS English/Indonesian dan slider playback rate.,PlayerBrowserTtsControls,Mengubah UI voice/rate Browser TTS.,Priority/default voice ada browserTtsVoiceDecisionDomain.
components/landing/LandingPage.jsx,ACTIVE,UI LANDING,LOW,63,"Halaman awal sebelum masuk aplikasi, termasuk start action dan theme control.",LandingPage,Mengubah landing/home screen.,Tidak memegang business logic ProLingo.
components/layout/BottomPlayerBar.jsx,ACTIVE,UI PLAYER,MEDIUM,115,"Bottom/global player bar desktop+mobile: Now Playing, Prev/Play/Pause/Next/Stop, playback mode, sidebar toggle.",BottomPlayerBar,Mengubah visual/tombol player bawah.,Jangan ubah session/repeat/delay logic di sini; handler berasal dari playback services.
components/layout/Header.jsx,ACTIVE,UI HEADER,MEDIUM,106,"Header/app bar terutama mobile: menu, deck selector/save/delete, upload inputs, dirty/save shortcut, mobile tabs/workspace.",Header,"Mengubah header/navbar atas, deck controls, upload trigger, mobile app bar.",Deck persistence dan navigation tetap di service masing-masing.
components/layout/MainAppAuxiliaryViews.jsx,ACTIVE,UI RENDERERS,MEDIUM,201,"Plain renderers untuk Batch Popup, Control Section Tabs, Mobile Tools, Workspace Tabs, dan Master Data Toolbar.","renderBatchPopupView, renderControlSectionTabsView, renderMobileToolsView, renderWorkspaceTabsView, renderMasterDataToolbarView",Mengubah shell/presentasi auxiliary yang dipakai MainApp tanpa menambah React component boundary.,Ini renderer aktif; beberapa component lama yang mirip tetap ada tetapi tidak selalu dipakai langsung.
components/layout/MainAppShellView.jsx,ACTIVE,UI SHELL,HIGH,337,"Renderer shell utama aplikasi: Header, Sidebar, workspace, terminal/tools mobile, playlist area, BottomPlayerBar, dan seluruh modal stack.",renderMainAppShellView,"Mengubah struktur/layout besar UI, posisi sidebar/player/workspace/modal.",Jangan masukkan business logic; hanya composition/wiring presentation.
components/layout/MobileTools.jsx,ACTIVE,UI MOBILE TOOLS,MEDIUM,201,Component mobile tools lama/pendukung berisi Player/Learn/Data/System mobile panels. Runtime final juga memiliki plain renderer aktif di MainAppAuxiliaryViews.,MobileTools,Sentuh hanya bila memastikan jalur pemanggilan aktif; untuk shell aktif biasanya mulai dari MainAppAuxiliaryViews.,Cek importer sebelum edit agar tidak mengubah file yang sebenarnya tidak dipakai.
components/layout/Sidebar.jsx,QUARANTINED,QUARANTINED UI,CRITICAL,449,Sidebar legacy besar sebelum shell modular.,Sidebar,Jangan disentuh/diaktifkan. Gunakan SidebarShell + SidebarTopControls + controls aktif.,Tidak reachable.
components/layout/SidebarShell.jsx,ACTIVE,UI SIDEBAR,MEDIUM,34,Container/overlay/sidebar frame responsive; mengatur visibility shell sidebar desktop/mobile.,SidebarShell,"Mengubah lebar, overlay, positioning, open/close shell sidebar.",Behavior open/header/scroll mobile juga terkait navigation lifecycle service.
components/layout/SidebarTopControls.jsx,ACTIVE,UI SIDEBAR,MEDIUM,42,"Bagian atas sidebar: theme Light/System/Dark, mode Table/Text, label Control Center, dan tabs section Player/Learn/Data/System.",SidebarTopControls,"Mengubah top sidebar, mode switch, theme control, category header.",Mode switching behavior ada viewNavigationService; control-section persistence ada preferencePersistenceService.
components/modals/ChangeReviewModal.jsx,ACTIVE,UI MODAL DATA,MEDIUM,55,"Modal review perubahan CSV: added/modified/deleted, revert per change, Undo, Revert All, Save.",ChangeReviewModal,Mengubah UI review/dirty changes.,Revert state logic ada changeRevertDomain/datasetInteractionService.
components/modals/ConfirmDialog.jsx,ACTIVE,UI MODALS,LOW,57,"Kumpulan dialog konfirmasi Revert All, Clear View, Delete Vocabulary, Delete Deck.","RevertAllConfirmModal, ClearViewModal, DeleteVocabularyModal, DeleteDeckModal",Mengubah wording/visual konfirmasi.,Aksi sebenarnya diberikan lewat callback service/domain.
components/modals/ManualEditorModal.jsx,ACTIVE,UI MODAL DATA,MEDIUM,94,"Form Add/Edit vocabulary manual, termasuk advanced fields EXP1–EXP5 dan informasi NO/high-water.",ManualEditorModal,Mengubah form manual editor.,ID/NO/save rules ada manualEditorStateDomain + manualVocabularySaveDomain + datasetInteractionService.
components/table/BatchPopup.jsx,ACTIVE,UI BATCH,MEDIUM,113,"Popup batch generation: Words, Word IDN, Sentences, Meaning, EXP EN/IDN, range, start/stop, engine indicator.",BatchPopup,Mengubah opsi/tampilan Batch.,Batch execution ada audioBatchDownloadService; validation range ada datasetInteractionService.
components/table/MasterDataToolbar.jsx,ACTIVE,UI TABLE,MEDIUM,62,"Toolbar Master Data: search/filter, study-range add dan kontrol cepat dataset.",MasterDataToolbar,Mengubah toolbar Master Data/Study selection.,Filtering derived-state ada mainAppDerivedStateDomain.
components/table/MemoizedRow.jsx,ACTIVE,UI ROW,HIGH,265,"Renderer row Table utama; menampilkan structured vocabulary, playback controls, Memory Mode/reveal, advanced content, action menu. File juga menyimpan legacy MemoizedTextRow export yang bukan jalur utama Text final.","MemoizedRow, MemoizedTextRow",Mengubah tampilan/aksi per-row Table.,"Sensitif karena terkait playback row, delete/edit, study queue, virtualization."
components/table/MemoizedTextRow.jsx,ACTIVE,UI ROW TEXT,MEDIUM,71,Renderer memoized row untuk mode Text yang aktif.,MemoizedTextRow,Mengubah tampilan/aksi item Text.,Text add/delete behavior ada manualTextStudyInteractionService.
components/table/PlaylistViewport.jsx,ACTIVE,UI VIRTUALIZATION,HIGH,296,"Plain renderer viewport playlist: virtualized rows, padding top/bottom, Table/Text selection, row measurement dan props ke MemoizedRow/MemoizedTextRow.",renderPlaylistViewport,"Mengubah virtualized list, row rendering, viewport/performance.",Jangan sembarang ubah index/height/scroll; terkait active-row auto-follow.
components/table/WorkspaceTabs.jsx,ACTIVE,UI TABLE,LOW,21,Tabs MASTER DATA / STUDY QUEUE dan badge/clear queue.,WorkspaceTabs,Mengubah tampilan tabs workspace.,Switch/scroll restoration ada viewNavigationService.
constants/datasetConstants.js,ACTIVE,CONFIG DATASET,HIGH,23,"Konstanta tinggi row/overscan, canonical CSV headers, source keys MAIN/SENTENCE/EXP1–EXP5 dan labels.","DEFAULT_ROW_HEIGHT_PC, DEFAULT_ROW_HEIGHT_MOBILE, OVERSCAN, V58_CANONICAL_HEADERS, V510_SOURCE_KEYS, V510_SOURCE_LABELS",Mengubah schema/virtualization/source layer constants.,Schema changes berdampak luas pada import/export dan compatibility.
constants/playbackConstants.js,ACTIVE,CONFIG PLAYBACK,CRITICAL,68,"Daftar playback parts, delay options/defaults, presets, dan section Player/Learn/Data/System.","V511_PLAYBACK_PARTS, V511_DELAY_OPTIONS, V511_DEFAULT_DELAYS, V511_PLAYBACK_PRESETS, V5116_CONTROL_SECTIONS, V5116_CONTROL_SECTION_KEYS","Mengubah default sequence, delay choices, preset, atau daftar control sections.",Setiap perubahan dapat mengubah behavior baseline/persistence; audit playback wajib.
constants/voiceConstants.js,ACTIVE,CONFIG VOICE,HIGH,71,Daftar initial Edge TTS voices.,initialEdgeVoices,Menambah/mengubah daftar Edge voices bawaan.,Default/priority Browser TTS berbeda dan ada di browserTtsVoiceDecisionDomain.
domain/audio/audioSourceRoutingDomain.js,ACTIVE,DOMAIN AUDIO,CRITICAL,12,Pure decision untuk local audio URL berdasarkan mode/identity/map dan fallback voice saat local audio gagal.,"resolveLocalAudioUrl, resolveAudioFallbackVoice",Mengubah aturan sumber Local Audio atau pilihan fallback voice.,Harus mempertahankan stable audio identity dan local→Browser TTS fallback.
domain/audio/audioTtsCompletionFailureDomain.js,ACTIVE,DOMAIN AUDIO,CRITICAL,42,"Pure completion/failure decisions: local audio failure, Edge health messages, Gemini inline audio, map key/filename, cancel/failure state.","shouldIgnoreLocalAudioFailure, shouldResolveLocalAudioFailure, resolveEdgeHealthStatusMessage, resolveEdgeHealthLogMessage, resolveEdgeHealthFailureMessage, resolveGeminiInlineAudioState, resolveGeneratedAudioMapKey, resolveGeneratedAudioFilename, isGenerationCancelled, resolveGenerationFailureState",Mengubah aturan hasil/failure/cancel generation atau mapping output audio.,Evaluation order/fallback sensitif.
domain/audio/browserTtsVoiceDecisionDomain.js,ACTIVE,DOMAIN AUDIO,CRITICAL,25,"Pure preflight Browser TTS: filter voices, priority English UK→US→AU→SG→others, Indonesian voice dan default selection.",resolveBrowserTtsVoiceState,Mengubah priority/default Browser TTS voice.,UK English adalah invariant utama.
domain/audio/ttsRequestProviderDomain.js,ACTIVE,DOMAIN AUDIO,CRITICAL,85,"Pure provider/request decisions untuk Gemini vs Edge: preparation text/filename, API key, endpoint/payload, rate/pitch, health request.","resolveAudioGenerationPreparation, resolveTtsGenerationProvider, resolveEdgeHealthCheckRequest, resolveEdgeTtsRequestState, resolveGeminiTtsApiKey, resolveGeminiTtsRequestState",Mengubah routing provider atau request parameters.,Network side effect tetap di services/audio.
domain/dataset/changeRevertDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,41,Pure state resolution untuk revert satu perubahan CSV.,resolveSingleChangeRevertState,Mengubah aturan Review Changes/Revert item.,Dirty/baseline semantics sensitif.
domain/dataset/csvImportStateDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,37,Pure state hasil import CSV termasuk initial max NO/manual ID/imported count/baseline dan historical high-water metadata.,resolveCsvImportState,Mengubah import state atau high-water restoration.,NO/audio slot tidak boleh reuse setelah tail deletion.
domain/dataset/csvSaveMetadataDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,12,"Pure metadata saat Save Updated CSV: max assigned NO, max manual ID, imported row count.",resolveCsvSaveMetadata,Mengubah sidecar metadata save CSV.,Harus menjaga Save→Reimport high-water.
domain/dataset/datasetSnapshotRestoreDomain.js,ACTIVE,DOMAIN DATASET,HIGH,7,Pure valid-ID resolution dan filtering Study Queue saat snapshot restore/undo/revert all.,"resolveSnapshotValidIds, filterStudyQueueByValidIds",Mengubah restore snapshot dan queue consistency.,VOCAB_ID consistency wajib.
domain/dataset/draftCacheMetadataDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,12,Pure metadata Draft cache/autosave; membedakan working draft dari saved CSV baseline.,resolveDraftCacheMetadata,Mengubah cache metadata/draft semantics.,Save Draft tidak boleh dianggap Save Updated CSV.
domain/dataset/exportSourceMetadataDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,23,"Pure metadata untuk Export Copy, remove/detach source, dan Save Updated Source/baseline.","resolveExportSourceMetadata, resolveSavedSourceMetadata",Mengubah source baseline/dirty metadata export/save.,Saving satu source hanya boleh membersihkan dirty source itu.
domain/dataset/manualEditorStateDomain.js,ACTIVE,DOMAIN DATASET,HIGH,32,"Pure state pembukaan Manual Add/Edit: next NO, initial form, advanced open state.","resolveManualAddNextNo, resolveManualAddForm, resolveManualEditAdvancedOpen, resolveManualEditForm",Mengubah initial form/NO ketika membuka editor.,NO/history rules sensitif.
domain/dataset/manualVocabularySaveDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,62,"Pure Add/Edit vocabulary save state; Add memakai max(high-water,current)+1, Edit mempertahankan NO/audio slot.",resolveManualVocabularySaveState,Mengubah aturan save manual vocabulary.,Jangan pernah renumber historical NO pada edit.
domain/dataset/sourceImportStateDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,32,"Pure import state untuk Full Pack dan single source; MAIN mengatur structural high-water, layer lain join by VOCAB_ID.","resolveFullPackImportState, resolveSingleSourceImportState",Mengubah aturan import source pack.,MAIN owns structure/order; layer tidak boleh merusak NO.
domain/dataset/structuredDeleteDomain.js,ACTIVE,DOMAIN DATASET,CRITICAL,9,"Pure structured-delete: records, Study Queue, reference cleanup.","resolveStructuredDeleteRecords, resolveStructuredDeleteStudyQueue, shouldClearStructuredDeleteReference",Mengubah delete vocabulary.,Delete tidak boleh menurunkan sequenceHighWater.
domain/playback/globalPlaybackControlDomain.js,ACTIVE,DOMAIN PLAYBACK,CRITICAL,26,"Pure keputusan tombol global play: pause/resume/fresh-start, target context dan resume item.","resolveGlobalPlayControlAction, shouldAttemptGlobalPlayResume, resolveGlobalPlayResumeItem, resolveGlobalPlayTargetContext, resolveGlobalPlayFreshStartState",Mengubah behavior tombol Play global.,Playback session semantics sensitif.
domain/playback/playbackControlDomain.js,ACTIVE,DOMAIN PLAYBACK,CRITICAL,22,Pure pause/resume dan independent playback control/action/context/mode.,"shouldPausePlayback, shouldResumePlayback, resolveIndependentPlaybackControlAction, resolveIndependentPlaybackContext, resolveNextPlaybackMode",Mengubah aturan pause/resume atau row-independent playback.,Harus selaras dengan runtime control/service.
domain/playback/playbackNavigationDomain.js,ACTIVE,DOMAIN PLAYBACK,CRITICAL,45,Pure Next/Previous navigation reference dan target state.,"resolvePlaybackNavigationReferenceState, resolvePlaybackNavigationTargetState",Mengubah Smart Next/Previous.,Jangan mengubah index/context semantics tanpa audit.
domain/playback/playbackSequenceDomain.js,ACTIVE,DOMAIN PLAYBACK,CRITICAL,39,"Pure mutation state sequence: toggle part, repeat, delay, move, shuffle.","togglePlaybackSequencePartState, setPlaybackSequencePartRepeatState, setPlaybackDelayState, movePlaybackSequencePartState, shufflePlaybackSequenceState",Mengubah state transformation Playback Sequence.,UI hanya memanggil service; default/preset ada constants/utils.
domain/playback/playbackSessionDomain.js,ACTIVE,DOMAIN PLAYBACK,CRITICAL,81,Pure session context/requested ID/start index/advance state untuk loop playback.,"resolvePlaybackSessionContextState, resolvePlaybackRequestedId, resolvePlaybackStartIndex, resolvePlaybackAdvanceState",Mengubah urutan/session advance/repeat behavior.,Delay/pause/stop invariants sangat sensitif.
domain/playback/vocabularyPlaybackOrderDomain.js,ACTIVE,DOMAIN PLAYBACK,CRITICAL,52,"Pure ordering vocabulary original/shuffle, cycle/signature/anchor preservation.",resolveVocabularyPlaybackOrderState,Mengubah shuffle/order vocabulary.,Search/filter tidak boleh renumber NO.
domain/view/mainAppDerivedStateDomain.js,ACTIVE,DOMAIN VIEW,HIGH,71,"Pure derived-state: source change summaries, advanced stats, master filtered playlist, current player list, active playback list.","resolveSourceChangeSummaries, resolveAdvancedDatasetStats, resolveMasterFilteredPlaylist, resolveCurrentPlayerList, resolveActivePlaybackList",Mengubah filter/search/derived playlist atau statistik Advanced.,Tidak boleh mutasi dataset.
hooks/useMainAppPrimaryState.js,ACTIVE,HOOK STATE,HIGH,199,"Satu tempat ownership seluruh state utama MainApp: dataset/view, high-water, voices/TTS, playback config/status, sidebar/mobile, batch, memory, generator, audio maps, viewport.",useMainAppPrimaryState,Menambah state fitur baru atau mengubah default state yang benar-benar global/MainApp-owned.,Urutan hook dibekukan; jangan reorder tanpa audit hook-order.
hooks/useMainAppRuntimeRefs.js,ACTIVE,HOOK REFS,CRITICAL,42,"Runtime refs: stop/pause/session/promise, current Audio, AbortController, playback config refs, utterance ref, speechSynthesis, file inputs, logs/batch/text refs.",useMainAppRuntimeRefs,Menambah ref runtime/imperative handle yang dibutuhkan lintas services.,Urutan refs juga bagian hook-order freeze.
index.css,ACTIVE,STYLE ENTRY,MEDIUM,3,Entry CSS Tailwind: @tailwind base/components/utilities.,—,Konfigurasi entry CSS global/Tailwind.,Sebagian besar tampilan saat ini memakai utility class langsung di JSX.
main.jsx,ACTIVE,ENTRY,LOW,10,Bootstrap React ke #root dan mengaktifkan StrictMode serta index.css.,—,Mengubah entry React/StrictMode/root mount.,Jarang perlu disentuh.
services/app/mainAppStateLifecycleService.js,ACTIVE,SERVICE APP,HIGH,69,"Side effects/root lifecycle untuk system log append, sinkronisasi playlist dari content, dan reset full state.","executeSystemLogAppend, executePlaylistContentSyncEffect, executeResetFullState",Mengubah reset/sync/log lifecycle global.,Reset berdampak banyak state; audit setelah perubahan.
services/audio/audioBatchDownloadService.js,ACTIVE,SERVICE AUDIO,CRITICAL,114,Orkestrasi batch audio generation start/stop/range/progress/delay; memanggil generator per item/part.,executeAudioBatchDownloadService,Mengubah workflow Batch generation.,Jangan ubah pacing/stop semantics tanpa test.
services/audio/audioFolderLifecycleService.js,ACTIVE,SERVICE AUDIO,CRITICAL,100,File/folder side effects untuk load local audio folder dan membangun map Table/Text berdasarkan numeric audio slot/stable identity.,executeAudioFolderSelectService,Mengubah cara Load Audio Folder memetakan file.,Numeric slot identity/orphan behavior sangat sensitif.
services/audio/audioPlaybackSideEffectService.js,ACTIVE,SERVICE AUDIO,CRITICAL,116,"Actual Browser TTS playback dan Local Audio playback: SpeechSynthesis/Audio events, fallback, completion/cleanup.","executeBrowserTtsPlaybackService, executeAudioSourcePlaybackService","Mengubah actual playback source, utterance events, local audio error fallback.",Salah satu file paling sensitif; local failure harus fallback ke Browser TTS.
services/audio/audioRuntimeLifecycleService.js,ACTIVE,SERVICE AUDIO,HIGH,59,Lifecycle silent-audio anchor dan Browser TTS voice polling/onvoiceschanged.,"executeSilentAudioAnchorEffect, executeBrowserTtsVoiceLifecycleEffect",Mengubah initialization Browser voices atau silent audio anchor.,Hook wrapper tetap di App; jangan mengubah lifecycle timing sembarangan.
services/audio/audioTtsSideEffectService.js,ACTIVE,SERVICE AUDIO,CRITICAL,218,Actual Edge backend health fetch dan Gemini/Edge audio generation network/Blob/WAV/download/map side effects.,"executeEdgeBackendHealthService, executeAudioGenerationService",Mengubah API/fetch/generation execution.,Provider decision tetap di ttsRequestProviderDomain.
services/dataset/datasetInteractionService.js,ACTIVE,SERVICE DATASET,CRITICAL,214,"Orkestrasi Undo, per-change revert, Revert All, manual save, structured delete, batch range blur, Study range add, memory-cell reveal.","executeUndoLastDataChange, executeApplyChangeRevert, executeRevertAllChanges, executeSaveManualVocabulary, executeConfirmDeleteStructuredItem, executeBatchRangeBlur, executeStudyRangeAdd, executeToggleCellReveal",Mengubah aksi dataset yang dipicu UI.,Harus tetap memakai pure dataset domains untuk keputusan.
services/dataset/manualTextStudyInteractionService.js,ACTIVE,SERVICE DATASET,HIGH,94,"UI interaction glue: open/close Manual Editor, delete prompt, Insert Tab, add/delete Text item, toggle/clear Study Queue, row menu toggle.","executeOpenManualAdd, executeOpenManualEdit, executeCloseManualEditor, executeDeleteStructuredItemPrompt, executeInsertTab, executeAddTextItem, executeDeleteTextItem, executeToggleStudyItem, executeClearStudyQueue, executeMenuToggle",Mengubah workflow manual/text/study kecil-menengah.,Jangan taruh CSV persistence di sini.
services/navigation/appWindowLifecycleService.js,ACTIVE,SERVICE NAVIGATION,HIGH,122,"Browser/window effects: body scroll lock, sidebar/header visibility, beforeunload dirty warning, theme body, mobile scroll listener, responsive resize, auto-follow effect wrapper, log auto-scroll.","executeBodyScrollLockEffect, executeSidebarHeaderVisibilityEffect, executeUnsavedCsvBeforeUnloadEffect, executeBodyThemeBackgroundEffect, executeMobileHeaderScrollListenerEffect, executeResponsiveViewportLifecycleEffect, executeActiveRowAutoFollowEffect, executeMobileWindowScrollEffect, executeLogAutoScrollEffect",Mengubah responsive/window/mobile lifecycle.,Dependency/timing effect sensitif.
services/navigation/scrollViewportService.js,ACTIVE,SERVICE NAVIGATION,CRITICAL,144,"Imperative scroll logic: mobile header scrolling, pending scroll restoration, active-row auto-follow.","executeMobileHeaderScroll, executePendingScrollRestoration, executeActiveRowAutoFollow",Mengubah scroll restoration/auto-follow/current row.,Active playback row auto-follow adalah invariant.
services/navigation/viewNavigationService.js,ACTIVE,SERVICE NAVIGATION,HIGH,174,"Switch Table Master/Study, mobile tabs, dan Table/Text mode sambil menyimpan/restoring index/scroll dan stop state sesuai baseline.","executeTableViewTabSwitch, executeMobileTabSwitch, executeModeSwitch",Mengubah behavior navigasi tab/mode.,Jangan hanya ubah UI tabs bila behavior switch perlu berubah—file ini yang menangani.
services/persistence/datasetImportFileService.js,ACTIVE,SERVICE PERSISTENCE,CRITICAL,253,"File I/O import CSV, Full Pack, dan single source; baca file, metadata sidecar/cache, apply state hasil domain import.","executeCsvImportFileService, executeFullPackImportService, executeSourceLayerImportService",Mengubah import file/source workflow.,High-water/VOCAB_ID/source semantics harus tetap domain-driven.
services/persistence/datasetPersistenceService.js,ACTIVE,SERVICE PERSISTENCE,CRITICAL,236,"Export Copy, Save Updated CSV, detach source, Save Updated Source, Export Merged Dataset + localStorage metadata/cache updates.","executeExportTableCsvService, executeSaveUpdatedCsvService, executeRemoveSourceLayerService, executeSaveUpdatedSourceService, executeExportMergedDatasetService",Mengubah save/export behavior.,Export Copy tidak boleh clear dirty; save satu source hanya clear source itu.
services/persistence/deckCacheLifecycleService.js,ACTIVE,SERVICE PERSISTENCE,CRITICAL,216,"Draft autosave, startup restore, Save Deck, Load Deck, Delete Deck, restore Gemini key/cache.","executeDraftAutosaveEffect, executeStartupRestoreEffect, executeSaveDeckCacheService, executeLoadDeckCacheService, executeDeleteDeckCacheService",Mengubah startup/cache/deck lifecycle.,Bedakan draft cache dari saved CSV baseline.
services/persistence/preferencePersistenceService.js,ACTIVE,SERVICE PERSISTENCE,HIGH,84,"Load/save preferences playback sequence, delays, vocabulary order, dan control section ke localStorage.","loadPlaybackSequencePreference, loadPlaybackDelaysPreference, loadVocabularyPlayOrderPreference, loadControlSectionPreference, executePlaybackSequencePersistenceEffect, executePlaybackDelaysPersistenceEffect, executeVocabularyPlayOrderPersistenceEffect, executeControlSectionPersistenceEffect",Mengubah key/default persistence pengaturan Player/Control Center.,Perubahan key perlu migration/backward compatibility.
services/playback/globalPlaybackSessionService.js,ACTIVE,SERVICE PLAYBACK,CRITICAL,211,"Loop/orchestrator session playback global: sequence part, per-part repeat, per-item mode, delays, pause-aware flow, item advance.",executeGlobalPlaybackSessionService,Mengubah engine playback utama.,File paling sensitif untuk Repeat/Delay/Shuffle/Pause.
services/playback/mediaSessionLifecycleService.js,ACTIVE,SERVICE PLAYBACK,HIGH,120,Integrasi navigator.mediaSession / Android media widget: metadata dan action handlers.,executeMediaSessionLifecycleService,Mengubah lock-screen/media notification controls.,Jangan mengganggu playback core.
services/playback/playbackConfigurationService.js,ACTIVE,SERVICE PLAYBACK,HIGH,71,UI-facing actions untuk sequence toggle/repeat/delay/reset/order/shuffle/move/preset dan availability part.,"executeTogglePlaybackSequencePart, executeSetPlaybackSequencePartRepeat, executeSetPlaybackDelay, executeResetPlaybackDelays, executeChangeVocabularyPlayOrder, executeReshuffleVocabularyPlayback, executeMovePlaybackSequencePart, executeShufflePlaybackSequence, executeResetPlaybackSequence, executeApplyPlaybackPreset, resolvePlaybackSequencePartAvailable",Mengubah cara UI menerapkan setting playback.,Pure state transforms tetap di playbackSequenceDomain.
